app_id,id,unix_time,thumbs_up,minutes_played,useful_score,text,dt,len,hours_played
730,193461738,1745480041,1,3433,0.5238095521926879,Good Game and Lazy Valve XD,2025-04-24 07:34:01+00:00,27.0,57.21666666666667
730,193461531,1745479686,1,1282,0.5,good game,2025-04-24 07:28:06+00:00,9.0,21.366666666666667
730,193460870,1745478563,1,1466,0.5,the africans make me really really mad,2025-04-24 07:09:23+00:00,38.0,24.433333333333334
730,193460527,1745477925,1,130,0.5,Good game,2025-04-24 06:58:45+00:00,9.0,2.1666666666666665
730,193460329,1745477565,1,8224,0.5,always a classic. no magical or colorful BS going on. pure skill and map position as always.,2025-04-24 06:52:45+00:00,92.0,137.06666666666666
730,193459509,1745476077,1,57250,0.5,good game',2025-04-24 06:27:57+00:00,10.0,954.1666666666666
730,193459476,1745476011,1,65791,0.5,GOOOD CYKA,2025-04-24 06:26:51+00:00,10.0,1096.5166666666667
730,193459433,1745475936,0,81705,0.5,"Love this game, but it is not launching right now and erlier was doing the same for my friend. i had this happen is the past multiple times, so you get 1 star.",2025-04-24 06:25:36+00:00,159.0,1361.75
730,193458965,1745475093,1,226,0.5,Very good game,2025-04-24 06:11:33+00:00,14.0,3.7666666666666666
730,193458922,1745475016,1,9163,0.5,love the way it makes me drizzle,2025-04-24 06:10:16+00:00,32.0,152.71666666666667
730,193458758,1745474724,1,9747,0.5,BEST STEAM GAME EVER,2025-04-24 06:05:24+00:00,20.0,162.45
730,193458667,1745474551,1,3550,0.5,продал всё что есть и дом чтобы купить нож,2025-04-24 06:02:31+00:00,42.0,59.166666666666664
730,193458577,1745474339,0,29796,0.5,DOGSHIT GAME WITH CHEATERS EVERYWHERE. DOGSHIT DEVELOPERS DOGSHIT ANTI CHEAT DOGSHIT GAME FUCK YOU GABEN DOG,2025-04-24 05:58:59+00:00,108.0,496.6
730,193458464,1745474154,1,6039,0.5,gambling,2025-04-24 05:55:54+00:00,8.0,100.65
730,193457781,1745472876,1,163071,0.5,"i think this game is really fun, as long no one cheat/hacks this game is really good",2025-04-24 05:34:36+00:00,84.0,2717.85
730,193457364,1745472109,1,1194,0.5,very good game after the rework,2025-04-24 05:21:49+00:00,31.0,19.9
730,193456875,1745471208,1,25966,0.5238095521926879,i mean its ight,2025-04-24 05:06:48+00:00,15.0,432.76666666666665
730,193456469,1745470491,1,35036,0.5,this game is like a lemon,2025-04-24 04:54:51+00:00,25.0,583.9333333333333
730,193456419,1745470423,1,36313,0.5,Gambling terrorist simulation. Spend 400 dollars on cases just to get a super bad tec-9 skin. 10/10 would recommend,2025-04-24 04:53:43+00:00,115.0,605.2166666666667
730,193456416,1745470417,1,2329,0.5,"Dis game give me cancer,depreson and more i really recommand if you want to kill yoursefl",2025-04-24 04:53:37+00:00,89.0,38.81666666666667
730,193456384,1745470368,1,57317,0.5,"i learned so much from this game, now i know the definition of not having a life, i speak fully russian, and i know 6 10 year olds slept with my mom, and someone told me i slept with my mom, damn how did they know i was into my incest.",2025-04-24 04:52:48+00:00,235.0,955.2833333333333
730,193455863,1745469465,1,41688,0.5,moj zivot je kockanjeeeeeeeeeee,2025-04-24 04:37:45+00:00,31.0,694.8
730,193455768,1745469314,1,27735,0.5,game nic,2025-04-24 04:35:14+00:00,8.0,462.25
730,193455460,1745468821,1,62394,0.5,https://steamcommunity.com/profiles/76561197973845818/inventory/#730_2_182003526  https://steamcommunity.com/profiles/76561197973845818/inventory/#730_2_1905952821  https://steamcommunity.com/profiles/76561197973845818/inventory/#730_2_1022152145,2025-04-24 04:27:01+00:00,246.0,1039.9
730,193455171,1745468362,1,965,0.5,horrible,2025-04-24 04:19:22+00:00,8.0,16.083333333333332
730,193454684,1745467579,0,27950,0.5238095521926879,too many hacks,2025-04-24 04:06:19+00:00,14.0,465.8333333333333
730,193454647,1745467510,1,45306,0.5454545617103576,Not what it used to be,2025-04-24 04:05:10+00:00,22.0,755.1
730,193454583,1745467403,1,2412,0.5,I LOVE NEGEV,2025-04-24 04:03:23+00:00,12.0,40.2
730,193454532,1745467339,0,18992,0.4761904776096343,"This game is unique in the sense that there isn't another competitive experience that matches Counter Strike 2. Which is what makes it both one of the best and worst games I've ever played, rounds never play the same as the last, being that the strategies, weapons, and tools you use change every round to adapt to the situation at hand to win a round and keep a lead in a match larger, or trying to win enough rounds to tie up a match in an otherwise unwinnable scenario. This amplifies a win grasped from the jaws of defeat feel so satisfying, but on the other hand, makes a loss when victory seemed almost guaranteed feel devastating.   While this game is fun, it's hard to ignore certain issues after an extended amount of playtime, one reason is that this game isn't easy to learn and even harder to master, which can lead a new player into falsely jumping in head first, without proper knowledge, to be stomped in competitive where most of the game is centered around. This is largely in part to the very basic and lacking in game ""tutorial"", which doesn't explain enough for new players to genuinely understand the proper way to play a real competitive match and can more often then not lead them to be kicked without actually learning anything in the process.   Another issue I've had with the game is just how bad the VAC system is, even after the 3.0 updates, which didn't work on launch and was extremely touchy, giving me two 7 day global cooldowns back to back through no fault of my own. Even after the VAC system was refined I've still ran into cheaters fairly often after, this also leads into a much larger issue with the game overall, that being the genuinely poor update rate and support the game itself gets, which means barely any new maps to play while the very few maps in rotation for competitve modes are taken away at random and for long periods of time, sparse patches, very few rebalances and changes to general gameplay on a global level, but at the same time making sure that there are always new case sets and armory passes, which themselves have long periods of not changing at all, even when a rotation is needed or should be done.  Overall, a fun-ish game to play when queuing with friends provided you know how to play, solo queue can be okay, but often won't be that much fun due to bad teamates, both in terms of play and sportsmanship, and enemy teams who can sometimes seem as if they just came out of a pro league or are just plain cheating.",2025-04-24 04:02:19+00:00,2481.0,316.53333333333336
730,193454288,1745466944,0,84876,0.5,"works like shit, slow laggy feeling like under water, sometimes faster, always diffrent feeling",2025-04-24 03:55:44+00:00,95.0,1414.6
730,193454155,1745466737,1,39143,0.5,good gaim you go bang bang they die WWWWW,2025-04-24 03:52:17+00:00,41.0,652.3833333333333
730,193453929,1745466364,0,135692,0.5,SORT YOUR DOGSHIT GAME OUT AND IT WILL BE GOOD,2025-04-24 03:46:04+00:00,46.0,2261.5333333333333
730,193452997,1745464911,1,3070,0.5,gud game,2025-04-24 03:21:51+00:00,8.0,51.166666666666664
730,193452835,1745464631,0,1018,0.52173912525177,"Infested with cheaters, vac doesn't work.  the only reason ppl play is for skins",2025-04-24 03:17:11+00:00,80.0,16.966666666666665
730,193452687,1745464399,1,915,0.5,"I love 1 tapping children, highly recommend 10/10.",2025-04-24 03:13:19+00:00,50.0,15.25
730,193452520,1745464162,0,1759,0.52173912525177,too many hack,2025-04-24 03:09:22+00:00,13.0,29.316666666666666
730,193451561,1745462846,0,3809,0.52173912525177,IF IT WASNT FILLED WITH CHEATERS IT WOULD BE FUN,2025-04-24 02:47:26+00:00,48.0,63.483333333333334
730,193450576,1745461253,1,1275,0.5,Took me 30 minutes to open one case and get a negev ultralight.. Yeah.. I will be refunding this Disgusting game. Please fix. Thank you,2025-04-24 02:20:53+00:00,135.0,21.25
730,193450486,1745461117,1,834,0.5,Simple yet a great game,2025-04-24 02:18:37+00:00,23.0,13.9
730,193450130,1745460575,1,2087,0.5,Fun game even though I'm a dumpster fire.,2025-04-24 02:09:35+00:00,41.0,34.78333333333333
730,193449655,1745459881,1,3543,0.5,csgo>val,2025-04-24 01:58:01+00:00,8.0,59.05
730,193449601,1745459806,1,1538,0.5,how i can join the game,2025-04-24 01:56:46+00:00,23.0,25.633333333333333
730,193448702,1745458567,1,164348,0.5,"esqueça tudo, é o melhor do mundo siiiiuuuuu",2025-04-24 01:36:07+00:00,44.0,2739.133333333333
730,193448468,1745458227,1,5759,0.5,"My wife thinks I have an addiction.     She is right, she is leaving me.",2025-04-24 01:30:27+00:00,72.0,95.98333333333333
730,193448305,1745457993,0,30036,0.5,Tokhmiii,2025-04-24 01:26:33+00:00,8.0,500.6
730,193446977,1745456069,1,7153,0.5238095521926879,"one of the best games out there, but can be mind fucking cuz of hackers in high elo",2025-04-24 00:54:29+00:00,83.0,119.21666666666667
